tree_root,grid_id,grid_dir,region,has_config,model_version,imagery_source,config_tiles_dir,model_path,result_count,gpkg_row_count,created_at_utc,target_region,target_run,route_reason
/mnt/d/ZAsolar/results,G1970,/mnt/d/ZAsolar/results/G1970,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1970,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,44.0,44.0,2026-03-31T10:24:41.168610+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1971,/mnt/d/ZAsolar/results/G1971,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1971,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,405.0,408.0,2026-03-31T10:26:38.555265+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1972,/mnt/d/ZAsolar/results/G1972,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1972,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,133.0,136.0,2026-03-31T10:26:37.265749+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1973,/mnt/d/ZAsolar/results/G1973,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1973,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,170.0,170.0,2026-03-31T10:26:44.317435+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1974,/mnt/d/ZAsolar/results/G1974,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1974,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,18.0,18.0,2026-03-31T10:26:12.645831+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1975,/mnt/d/ZAsolar/results/G1975,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1975,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,160.0,161.0,2026-03-31T10:28:15.977562+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1976,/mnt/d/ZAsolar/results/G1976,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1976,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,45.0,47.0,2026-03-31T10:28:49.437772+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1977,/mnt/d/ZAsolar/results/G1977,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1977,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,8.0,8.0,2026-03-31T10:28:42.822079+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1979,/mnt/d/ZAsolar/results/G1979,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1979,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,6.0,6.0,2026-03-31T10:29:21.721383+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1981,/mnt/d/ZAsolar/results/G1981,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1981,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,61.0,62.0,2026-03-31T10:29:49.194643+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2025,/mnt/d/ZAsolar/results/G2025,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2025,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,40.0,41.0,2026-03-31T10:29:36.464423+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2026,/mnt/d/ZAsolar/results/G2026,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2026,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,77.0,77.0,2026-03-31T10:30:57.987931+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2027,/mnt/d/ZAsolar/results/G2027,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2027,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,150.0,152.0,2026-03-31T10:31:57.116377+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2028,/mnt/d/ZAsolar/results/G2028,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2028,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,180.0,180.0,2026-03-31T10:31:50.294803+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2029,/mnt/d/ZAsolar/results/G2029,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2029,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,280.0,281.0,2026-03-31T10:33:04.748809+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2030,/mnt/d/ZAsolar/results/G2030,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2030,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,31.0,50.0,2026-03-31T10:32:49.381167+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2031,/mnt/d/ZAsolar/results/G2031,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2031,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,39.0,39.0,2026-03-31T10:32:56.639361+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2032,/mnt/d/ZAsolar/results/G2032,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2032,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,40.0,40.0,2026-03-31T10:34:52.314612+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2033,/mnt/d/ZAsolar/results/G2033,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2033,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,8.0,8.0,2026-03-31T10:34:29.835670+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2034,/mnt/d/ZAsolar/results/G2034,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2034,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,2.0,2.0,2026-03-31T10:34:08.171455+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2035,/mnt/d/ZAsolar/results/G2035,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2035,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,3.0,3.0,2026-03-31T10:34:58.043447+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2037,/mnt/d/ZAsolar/results/G2037,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2037,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,14.0,14.0,2026-03-31T10:35:04.193998+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G2038,/mnt/d/ZAsolar/results/G2038,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G2038,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,38.0,38.0,2026-03-31T10:35:13.313971+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
